ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
23,Mobley benchmarkset,cd-set2,bcd,guest-1,-2.486,0.084,0.6,0.05,-52.4013,-0.3816,11.4951,-65.2392,1.7244,-658.3706,-32.461,-475.9529,-155.9068,5.9502,-715.1588,-45.9909,-455.9372,-218.9603,5.7296,-133.8093,510.6662,-455.9372,-194.268,5.7296,-37.798,16.099,11.4951,-67.1165,1.7244,-103.2494,494.5672,-475.9529,-127.8139,5.9502,-5.91020000000003,-4.38690000000008,0.6,-6.51020000000003,42.3827040400004,-4.98690000000008
24,Mobley benchmarkset,cd-set2,bcd,guest-2,-3.585,0.12,-0.48,0.03,-51.3396,-0.537,11.4949,-64.3805,2.083,-664.2951,-30.1805,-512.9161,-127.1022,5.9038,-724.6922,-44.4014,-492.3344,-193.9347,5.9783,-150.7037,513.1294,-492.3344,-177.477,5.9783,-36.1295,16.1817,11.4949,-65.889,2.083,-117.4711,496.9477,-512.9161,-107.4064,5.9038,-10.787,-9.05749999999989,-0.48,-10.307,106.234249,-8.57749999999989
25,Mobley benchmarkset,cd-set2,bcd,guest-3,-3.05,0.01,-1.09,0.01,2.6721,-0.2102,11.4711,-9.9341,1.3453,-655.6313,-35.7162,-500.5384,-125.2268,5.8501,-662.8542,-48.9603,-489.6191,-129.843,5.5682,-135.9322,458.5854,-489.6191,-110.4666,5.5682,-27.2824,-31.1646,11.4711,-8.9343,1.3453,-111.8654,489.7499,-500.5384,-106.927,5.8501,-9.81829999999999,-9.89499999999998,-1.09,-8.72829999999999,76.1832208899999,-8.80499999999998
26,Mobley benchmarkset,cd-set2,bcd,guest-4,-4.541,0.008,-2.17,0.02,-7.3841,-0.9454,1.9234,-9.9248,1.5627,-657.8,-32.0456,-493.1739,-138.4773,5.8968,-679.2148,-49.8503,-491.5976,-143.3782,5.6113,-122.7095,481.5631,-491.5976,-118.2863,5.6113,-19.4122,-14.3757,1.9234,-8.5225,1.5627,-105.2313,495.9388,-493.1739,-113.8931,5.8968,-14.9253,-14.0307,-2.17,-12.7553,162.69767809,-11.8607
27,Mobley benchmarkset,cd-set2,bcd,guest-5,-4.56,0.011,-2.96,0.01,-2.6649,-0.6581,5.6233,-9.1704,1.5403,-652.0011,-30.321,-489.2507,-138.3938,5.9643,-668.5052,-48.4317,-484.061,-141.6558,5.6432,-117.1864,480.3267,-484.061,-119.0954,5.6432,-11.7225,-11.174,5.6233,-7.7121,1.5403,-108.9611,491.5007,-489.2507,-117.1754,5.9643,-13.9554,-13.8392,-2.96,-10.9954,120.89882116,-10.8792
28,Mobley benchmarkset,cd-set2,bcd,guest-6,-1.267,0.323,1.89,0.53,-75.7467,-0.3575,2.9062,-79.7771,1.4818,-666.5848,-34.7647,-487.4255,-150.3297,5.935,-748.0052,-47.4039,-513.2384,-193.0354,5.6726,-176.6205,501.517,-513.2384,-170.5717,5.6726,-75.3818,2.5836,2.9062,-82.3533,1.4818,-108.5145,498.9334,-487.4255,-125.9574,5.935,-5.00589999999997,-5.67369999999994,1.89,-6.89589999999997,47.5534368099996,-7.56369999999994
29,Mobley benchmarkset,cd-set2,bcd,guest-7,-3.394,0.179,0.42,0.04,-68.6879,-0.6766,8.754,-78.579,1.8137,-661.4972,-29.4625,-495.0073,-142.8706,5.8433,-741.2205,-43.4981,-505.7685,-197.7201,5.7662,-168.6486,504.7287,-505.7685,-173.3749,5.7662,-64.7938,5.941,8.754,-81.3024,1.8137,-106.0676,498.7877,-495.0073,-115.6912,5.8433,-11.1462,-11.0354,0.42,-11.5662,133.77698244,-11.4554
30,Mobley benchmarkset,cd-set2,bcd,guest-8,-1.64,0.024,-2.51,0.08,-75.3435,-0.492,1.3785,-77.6946,1.4647,-656.1663,-33.5223,-485.996,-142.5054,5.8573,-738.4205,-46.0,-493.3105,-204.8131,5.7031,-150.9638,517.3217,-493.3105,-180.6782,5.7031,-53.5963,23.2159,1.3785,-79.6553,1.4647,-103.0483,494.1058,-485.996,-117.0155,5.8573,-6.30489999999998,-6.91069999999991,-2.51,-3.79489999999998,14.4012660099998,-4.40069999999991
31,Mobley benchmarkset,cd-set2,bcd,guest-9,-1.697,0.048,-1.79,0.11,-51.2386,-1.2346,25.8609,-77.4623,1.5975,-666.2376,-32.366,-516.3177,-123.4944,5.9405,-728.0919,-49.1785,-508.8621,-175.8203,5.769,-172.0615,487.5653,-508.8621,-156.5336,5.769,-61.4935,-9.4237,25.8609,-79.5281,1.5975,-117.6936,496.989,-516.3177,-104.3053,5.9405,-8.45230000000004,-10.6156999999999,-1.79,-6.66230000000004,44.3862412900005,-8.82569999999995
32,Mobley benchmarkset,cd-set2,bcd,guest-10,-2.192,0.013,-2.89,0.05,-47.3442,-1.357,29.8356,-77.5945,1.7717,-651.0351,-30.3812,-486.002,-140.5815,5.9297,-710.097,-47.7124,-475.6655,-192.5277,5.8086,-167.414,474.3496,-475.6655,-171.9067,5.8086,-62.1176,-14.0914,29.8356,-79.6335,1.7717,-109.4871,488.441,-486.002,-117.8558,5.9297,-11.7835,-11.7176999999999,-2.89,-8.89349999999997,79.0943422499995,-8.82769999999992
